Date,Price
2017-05-02 12:00:00,173.335
2017-05-02 12:00:02,173.345
2017-05-02 12:00:05,173.345
2017-05-02 12:00:08,173.38
2017-05-02 12:00:09,173.385
2017-05-02 12:00:11,173.385
2017-05-02 12:00:12,173.385
2017-05-02 12:00:19,173.385
2017-05-02 12:00:30,173.425
2017-05-02 12:00:35,173.425
2017-05-02 12:00:37,173.435
2017-05-02 12:00:44,173.39
2017-05-02 12:00:54,173.43
2017-05-02 12:00:56,173.44
2017-05-02 12:00:57,173.415
2017-05-02 12:00:58,173.415
2017-05-02 12:01:00,173.435
2017-05-02 12:01:01,173.42
2017-05-02 12:01:02,173.415
2017-05-02 12:01:04,173.39
2017-05-02 12:01:10,173.38
2017-05-02 12:01:12,173.38
2017-05-02 12:01:14,173.38
2017-05-02 12:01:17,173.38
2017-05-02 12:01:20,173.38
2017-05-02 12:01:21,173.38
2017-05-02 12:01:24,173.4
2017-05-02 12:01:25,173.4
2017-05-02 12:01:30,173.4
2017-05-02 12:01:31,173.4
2017-05-02 12:01:36,173.4
2017-05-02 12:01:40,173.4
2017-05-02 12:01:46,173.4
2017-05-02 12:01:57,173.39
2017-05-02 12:01:58,173.39
2017-05-02 12:02:02,173.365
2017-05-02 12:02:03,173.355
2017-05-02 12:02:04,173.355
2017-05-02 12:02:05,173.35
2017-05-02 12:02:06,173.35
2017-05-02 12:02:07,173.345
2017-05-02 12:02:08,173.35
2017-05-02 12:02:09,173.35
2017-05-02 12:02:11,173.35
2017-05-02 12:02:19,173.345
2017-05-02 12:02:20,173.35
2017-05-02 12:02:21,173.345
2017-05-02 12:02:22,173.345
2017-05-02 12:02:23,173.345
2017-05-02 12:02:27,173.355
2017-05-02 12:02:28,173.355
2017-05-02 12:02:31,173.385
2017-05-02 12:02:43,173.385
2017-05-02 12:02:44,173.39
2017-05-02 12:02:45,173.39
2017-05-02 12:02:46,173.39
2017-05-02 12:02:52,173.37
2017-05-02 12:02:53,173.345
2017-05-02 12:02:55,173.345
2017-05-02 12:02:56,173.285
2017-05-02 12:02:57,173.285
2017-05-02 12:03:01,173.3
2017-05-02 12:03:02,173.3
2017-05-02 12:03:03,173.3
2017-05-02 12:03:05,173.285
2017-05-02 12:03:06,173.285
2017-05-02 12:03:12,173.285
2017-05-02 12:03:13,173.29
2017-05-02 12:03:14,173.285
2017-05-02 12:03:15,173.29
2017-05-02 12:03:16,173.345
2017-05-02 12:03:17,173.34
2017-05-02 12:03:18,173.325
2017-05-02 12:03:19,173.305
2017-05-02 12:03:20,173.295
2017-05-02 12:03:24,173.29
2017-05-02 12:03:25,173.29
2017-05-02 12:03:27,173.285
2017-05-02 12:03:28,173.285
2017-05-02 12:03:37,173.265
2017-05-02 12:03:39,173.28
2017-05-02 12:03:43,173.28
2017-05-02 12:03:53,173.28
2017-05-02 12:03:57,173.25
2017-05-02 12:03:58,173.25
2017-05-02 12:03:59,173.25
2017-05-02 12:04:00,173.25
2017-05-02 12:04:01,173.25
2017-05-02 12:04:06,173.255
2017-05-02 12:04:08,173.255
2017-05-02 12:04:09,173.255
2017-05-02 12:04:10,173.255
2017-05-02 12:04:11,173.25
2017-05-02 12:04:12,173.25
2017-05-02 12:04:13,173.25
2017-05-02 12:04:16,173.25
2017-05-02 12:04:18,173.25
2017-05-02 12:04:22,173.25
2017-05-02 12:04:23,173.215
2017-05-02 12:04:25,173.205
2017-05-02 12:04:26,173.205
2017-05-02 12:04:30,173.22
2017-05-02 12:04:34,173.245
2017-05-02 12:04:35,173.23
2017-05-02 12:04:36,173.23
2017-05-02 12:04:50,173.225
2017-05-02 12:04:51,173.23
2017-05-02 12:04:52,173.23
2017-05-02 12:04:53,173.23
2017-05-02 12:04:54,173.225
2017-05-02 12:04:55,173.225
2017-05-02 12:05:06,173.225
2017-05-02 12:05:11,173.225
2017-05-02 12:05:15,173.255
2017-05-02 12:05:18,173.245
2017-05-02 12:05:21,173.245
2017-05-02 12:05:28,173.245
2017-05-02 12:05:31,173.29
2017-05-02 12:05:32,173.28
2017-05-02 12:05:34,173.275
2017-05-02 12:05:43,173.275
2017-05-02 12:05:51,173.275
2017-05-02 12:05:52,173.305
2017-05-02 12:05:53,173.285
2017-05-02 12:05:54,173.285
2017-05-02 12:05:55,173.295
2017-05-02 12:05:56,173.315
2017-05-02 12:05:58,173.315
2017-05-02 12:05:59,173.315
2017-05-02 12:06:01,173.32
2017-05-02 12:06:03,173.345
2017-05-02 12:06:04,173.345
2017-05-02 12:06:07,173.34
2017-05-02 12:06:08,173.335
2017-05-02 12:06:10,173.33
2017-05-02 12:06:12,173.33
2017-05-02 12:06:13,173.33
2017-05-02 12:06:24,173.33
2017-05-02 12:06:25,173.33
2017-05-02 12:06:27,173.33
2017-05-02 12:06:31,173.355
2017-05-02 12:06:32,173.365
2017-05-02 12:06:34,173.365
2017-05-02 12:06:36,173.375
2017-05-02 12:06:37,173.38
2017-05-02 12:06:39,173.39
2017-05-02 12:06:40,173.39
2017-05-02 12:06:41,173.405
2017-05-02 12:06:42,173.395
2017-05-02 12:06:45,173.425
2017-05-02 12:06:47,173.425
2017-05-02 12:06:52,173.445
2017-05-02 12:06:58,173.445
2017-05-02 12:06:59,173.47
2017-05-02 12:07:00,173.47
2017-05-02 12:07:01,173.5
2017-05-02 12:07:02,173.5
2017-05-02 12:07:03,173.5
2017-05-02 12:07:05,173.53
2017-05-02 12:07:07,173.545
2017-05-02 12:07:10,173.555
2017-05-02 12:07:11,173.55
2017-05-02 12:07:12,173.505
2017-05-02 12:07:17,173.49
2017-05-02 12:07:18,173.485
2017-05-02 12:07:28,173.49
2017-05-02 12:07:38,173.49
2017-05-02 12:07:46,173.535
2017-05-02 12:07:48,173.535
2017-05-02 12:07:50,173.535
2017-05-02 12:07:52,173.535
2017-05-02 12:07:56,173.53
2017-05-02 12:07:57,173.525
2017-05-02 12:08:00,173.53
2017-05-02 12:08:03,173.53
2017-05-02 12:08:04,173.535
2017-05-02 12:08:12,173.555
2017-05-02 12:08:16,173.52
2017-05-02 12:08:17,173.525
2017-05-02 12:08:20,173.525
2017-05-02 12:08:26,173.525
2017-05-02 12:08:39,173.525
2017-05-02 12:08:42,173.525
2017-05-02 12:08:44,173.58
2017-05-02 12:08:45,173.58
2017-05-02 12:08:47,173.56
2017-05-02 12:08:49,173.56
2017-05-02 12:08:50,173.53
2017-05-02 12:08:51,173.535
2017-05-02 12:08:52,173.53
2017-05-02 12:08:53,173.53
2017-05-02 12:08:54,173.53
2017-05-02 12:08:55,173.53
2017-05-02 12:09:00,173.53
2017-05-02 12:09:01,173.53
2017-05-02 12:09:04,173.525
2017-05-02 12:09:05,173.525
2017-05-02 12:09:07,173.525
2017-05-02 12:09:12,173.525
2017-05-02 12:09:13,173.525
2017-05-02 12:09:15,173.53
2017-05-02 12:09:16,173.54
2017-05-02 12:09:17,173.545
2017-05-02 12:09:18,173.545
2017-05-02 12:09:20,173.54
2017-05-02 12:09:24,173.535
2017-05-02 12:09:30,173.535
2017-05-02 12:09:31,173.535
2017-05-02 12:09:41,173.505
2017-05-02 12:09:42,173.52
2017-05-02 12:09:43,173.515
2017-05-02 12:09:44,173.52
2017-05-02 12:09:45,173.525
2017-05-02 12:09:55,173.56
2017-05-02 12:09:56,173.56
2017-05-02 12:10:01,173.555
2017-05-02 12:10:03,173.535
2017-05-02 12:10:04,173.525
2017-05-02 12:10:06,173.475
2017-05-02 12:10:08,173.47
2017-05-02 12:10:10,173.47
2017-05-02 12:10:12,173.47
2017-05-02 12:10:16,173.48
2017-05-02 12:10:17,173.475
2017-05-02 12:10:18,173.475
2017-05-02 12:10:22,173.475
2017-05-02 12:10:23,173.475
2017-05-02 12:10:35,173.43
2017-05-02 12:10:41,173.425
2017-05-02 12:10:42,173.4
2017-05-02 12:10:46,173.39
2017-05-02 12:10:49,173.39
2017-05-02 12:10:52,173.385
2017-05-02 12:10:53,173.385
2017-05-02 12:10:56,173.385
2017-05-02 12:10:57,173.385
2017-05-02 12:10:58,173.38
2017-05-02 12:10:59,173.38
2017-05-02 12:11:00,173.38
2017-05-02 12:11:03,173.375
2017-05-02 12:11:04,173.405
2017-05-02 12:11:05,173.405
2017-05-02 12:11:06,173.405
2017-05-02 12:11:07,173.41
2017-05-02 12:11:08,173.41
2017-05-02 12:11:10,173.385
2017-05-02 12:11:11,173.385
2017-05-02 12:11:13,173.385
2017-05-02 12:11:14,173.38
2017-05-02 12:11:19,173.38
2017-05-02 12:11:23,173.385
2017-05-02 12:11:25,173.385
2017-05-02 12:11:33,173.385
2017-05-02 12:11:36,173.385
2017-05-02 12:11:43,173.38
2017-05-02 12:11:45,173.38
2017-05-02 12:11:46,173.38
2017-05-02 12:11:54,173.38
2017-05-02 12:11:55,173.38
2017-05-02 12:11:57,173.405
2017-05-02 12:11:58,173.44
2017-05-02 12:11:59,173.46
2017-05-02 12:12:00,173.46
2017-05-02 12:12:02,173.465
2017-05-02 12:12:03,173.485
2017-05-02 12:12:04,173.485
2017-05-02 12:12:05,173.485
2017-05-02 12:12:07,173.475
2017-05-02 12:12:08,173.48
2017-05-02 12:12:10,173.48
2017-05-02 12:12:28,173.48
2017-05-02 12:12:31,173.505
2017-05-02 12:12:39,173.515
2017-05-02 12:13:00,173.515
2017-05-02 12:13:01,173.515
2017-05-02 12:13:02,173.515
2017-05-02 12:13:05,173.525
2017-05-02 12:13:07,173.525
2017-05-02 12:13:10,173.525
2017-05-02 12:13:11,173.525
2017-05-02 12:13:12,173.53
2017-05-02 12:13:16,173.53
2017-05-02 12:13:17,173.53
2017-05-02 12:13:20,173.525
2017-05-02 12:13:23,173.48
2017-05-02 12:13:25,173.48
2017-05-02 12:13:28,173.44
2017-05-02 12:13:29,173.435
2017-05-02 12:13:31,173.395
2017-05-02 12:13:35,173.395
2017-05-02 12:13:40,173.395
2017-05-02 12:13:41,173.395
2017-05-02 12:13:45,173.395
2017-05-02 12:13:48,173.395
2017-05-02 12:13:50,173.505
2017-05-02 12:13:51,173.52
2017-05-02 12:13:53,173.525
2017-05-02 12:14:00,173.525
2017-05-02 12:14:03,173.52
2017-05-02 12:14:08,173.52
2017-05-02 12:14:13,173.52
2017-05-02 12:14:15,173.52
2017-05-02 12:14:21,173.515
2017-05-02 12:14:23,173.515
2017-05-02 12:14:33,173.515
2017-05-02 12:14:41,173.52
2017-05-02 12:14:46,173.52
2017-05-02 12:14:48,173.52
2017-05-02 12:14:50,173.52
2017-05-02 12:14:52,173.52
2017-05-02 12:14:55,173.51
2017-05-02 12:14:56,173.51
2017-05-02 12:14:58,173.51
2017-05-02 12:15:04,173.525
2017-05-02 12:15:06,173.525
2017-05-02 12:15:07,173.525
2017-05-02 12:15:11,173.525
2017-05-02 12:15:14,173.525
2017-05-02 12:15:27,173.525
2017-05-02 12:15:33,173.525
2017-05-02 12:15:34,173.525
2017-05-02 12:15:44,173.525
2017-05-02 12:15:51,173.525
2017-05-02 12:15:52,173.525
2017-05-02 12:15:55,173.455
2017-05-02 12:15:59,173.455
2017-05-02 12:16:00,173.46
2017-05-02 12:16:05,173.455
2017-05-02 12:16:10,173.445
2017-05-02 12:16:13,173.445
2017-05-02 12:16:15,173.445
2017-05-02 12:16:23,173.44
2017-05-02 12:16:25,173.44
2017-05-02 12:16:26,173.44
2017-05-02 12:16:27,173.44
2017-05-02 12:16:32,173.44
2017-05-02 12:16:33,173.44
2017-05-02 12:16:35,173.46
2017-05-02 12:16:39,173.46
2017-05-02 12:16:43,173.46
2017-05-02 12:16:46,173.465
2017-05-02 12:16:47,173.465
2017-05-02 12:16:48,173.465
2017-05-02 12:16:49,173.465
2017-05-02 12:16:50,173.465
2017-05-02 12:16:54,173.45
2017-05-02 12:16:58,173.445
2017-05-02 12:17:01,173.445
2017-05-02 12:17:02,173.45
2017-05-02 12:17:03,173.455
2017-05-02 12:17:04,173.435
2017-05-02 12:17:05,173.445
2017-05-02 12:17:06,173.45
2017-05-02 12:17:08,173.44
2017-05-02 12:17:10,173.36
2017-05-02 12:17:11,173.36
2017-05-02 12:17:12,173.36
2017-05-02 12:17:13,173.36
2017-05-02 12:17:14,173.355
2017-05-02 12:17:15,173.35
2017-05-02 12:17:16,173.35
2017-05-02 12:17:17,173.35
2017-05-02 12:17:21,173.335
2017-05-02 12:17:24,173.315
2017-05-02 12:17:25,173.315
2017-05-02 12:17:48,173.355
2017-05-02 12:17:49,173.365
2017-05-02 12:17:50,173.365
2017-05-02 12:17:53,173.385
2017-05-02 12:17:56,173.385
2017-05-02 12:17:57,173.385
2017-05-02 12:18:01,173.415
2017-05-02 12:18:02,173.4
2017-05-02 12:18:03,173.405
2017-05-02 12:18:05,173.405
2017-05-02 12:18:13,173.415
2017-05-02 12:18:14,173.415
2017-05-02 12:18:17,173.395
2017-05-02 12:18:20,173.375
2017-05-02 12:18:21,173.375
2017-05-02 12:18:23,173.355
2017-05-02 12:18:25,173.335
2017-05-02 12:18:26,173.32
2017-05-02 12:18:27,173.32
2017-05-02 12:18:41,173.355
2017-05-02 12:18:42,173.355
2017-05-02 12:18:45,173.355
2017-05-02 12:18:49,173.355
2017-05-02 12:18:50,173.35
2017-05-02 12:18:58,173.385
2017-05-02 12:18:59,173.4
2017-05-02 12:19:00,173.395
2017-05-02 12:19:01,173.4
2017-05-02 12:19:02,173.4
2017-05-02 12:19:03,173.4
2017-05-02 12:19:06,173.41
2017-05-02 12:19:09,173.41
2017-05-02 12:19:13,173.41
2017-05-02 12:19:17,173.45
2017-05-02 12:19:18,173.46
2017-05-02 12:19:20,173.455
2017-05-02 12:19:21,173.46
2017-05-02 12:19:25,173.455
2017-05-02 12:19:26,173.46
2017-05-02 12:19:27,173.465
2017-05-02 12:19:34,173.46
2017-05-02 12:19:39,173.46
2017-05-02 12:19:40,173.46
2017-05-02 12:19:44,173.46
2017-05-02 12:19:45,173.47
2017-05-02 12:19:46,173.485
2017-05-02 12:19:47,173.49
2017-05-02 12:19:48,173.485
2017-05-02 12:19:49,173.47
2017-05-02 12:19:53,173.445
2017-05-02 12:19:57,173.44
2017-05-02 12:19:58,173.44
2017-05-02 12:19:59,173.44
2017-05-02 12:20:00,173.44
2017-05-02 12:20:01,173.45
2017-05-02 12:20:02,173.45
2017-05-02 12:20:03,173.45
2017-05-02 12:20:04,173.45
2017-05-02 12:20:05,173.45
2017-05-02 12:20:06,173.45
2017-05-02 12:20:07,173.45
2017-05-02 12:20:09,173.45
2017-05-02 12:20:12,173.45
2017-05-02 12:20:17,173.45
2017-05-02 12:20:22,173.45
2017-05-02 12:20:23,173.45
2017-05-02 12:20:32,173.45
2017-05-02 12:20:34,173.45
2017-05-02 12:20:42,173.45
2017-05-02 12:20:50,173.415
2017-05-02 12:20:52,173.405
2017-05-02 12:20:55,173.4
2017-05-02 12:21:01,173.395
2017-05-02 12:21:07,173.395
2017-05-02 12:21:13,173.385
2017-05-02 12:21:15,173.385
2017-05-02 12:21:22,173.385
2017-05-02 12:21:31,173.385
2017-05-02 12:21:34,173.425
2017-05-02 12:21:35,173.425
2017-05-02 12:21:39,173.425
2017-05-02 12:21:40,173.41
2017-05-02 12:21:44,173.41
2017-05-02 12:21:56,173.395
2017-05-02 12:21:57,173.375
2017-05-02 12:21:58,173.375
2017-05-02 12:22:00,173.375
2017-05-02 12:22:08,173.375
2017-05-02 12:22:12,173.38
2017-05-02 12:22:14,173.38
2017-05-02 12:22:15,173.34
2017-05-02 12:22:17,173.34
2017-05-02 12:22:23,173.34
2017-05-02 12:22:24,173.34
2017-05-02 12:22:27,173.34
2017-05-02 12:22:31,173.34
2017-05-02 12:22:33,173.34
2017-05-02 12:22:34,173.335
2017-05-02 12:22:35,173.335
2017-05-02 12:22:37,173.335
2017-05-02 12:22:40,173.335
2017-05-02 12:22:44,173.335
2017-05-02 12:22:45,173.34
2017-05-02 12:22:46,173.34
2017-05-02 12:22:49,173.34
2017-05-02 12:22:50,173.335
2017-05-02 12:22:55,173.335
2017-05-02 12:22:59,173.335
2017-05-02 12:23:00,173.335
2017-05-02 12:23:02,173.375
2017-05-02 12:23:08,173.38
2017-05-02 12:23:09,173.42
2017-05-02 12:23:11,173.425
2017-05-02 12:23:12,173.425
2017-05-02 12:23:20,173.435
2017-05-02 12:23:27,173.445
2017-05-02 12:23:31,173.455
2017-05-02 12:23:51,173.455
2017-05-02 12:23:54,173.48
2017-05-02 12:23:55,173.48
2017-05-02 12:23:57,173.51
2017-05-02 12:23:58,173.48
2017-05-02 12:24:03,173.485
2017-05-02 12:24:11,173.485
2017-05-02 12:24:15,173.495
2017-05-02 12:24:16,173.47
2017-05-02 12:24:17,173.47
2017-05-02 12:24:19,173.47
2017-05-02 12:24:20,173.47
2017-05-02 12:24:26,173.455
2017-05-02 12:24:30,173.455
2017-05-02 12:24:41,173.46
2017-05-02 12:24:42,173.46
2017-05-02 12:24:43,173.46
2017-05-02 12:24:45,173.46
2017-05-02 12:24:46,173.46
2017-05-02 12:24:50,173.45
2017-05-02 12:24:51,173.45
2017-05-02 12:24:54,173.45
2017-05-02 12:24:55,173.425
2017-05-02 12:24:56,173.415
2017-05-02 12:25:00,173.405
2017-05-02 12:25:02,173.405
2017-05-02 12:25:03,173.395
2017-05-02 12:25:07,173.38
2017-05-02 12:25:18,173.39
2017-05-02 12:25:36,173.435
2017-05-02 12:25:37,173.44
2017-05-02 12:25:40,173.44
2017-05-02 12:25:45,173.43
2017-05-02 12:25:47,173.435
2017-05-02 12:25:50,173.47
2017-05-02 12:25:51,173.48
2017-05-02 12:25:54,173.48
2017-05-02 12:25:56,173.475
2017-05-02 12:26:01,173.475
2017-05-02 12:26:14,173.465
2017-05-02 12:26:17,173.49
2017-05-02 12:26:18,173.495
2017-05-02 12:26:20,173.495
2017-05-02 12:26:24,173.505
2017-05-02 12:26:26,173.48
2017-05-02 12:26:27,173.48
2017-05-02 12:26:28,173.465
2017-05-02 12:26:44,173.445
2017-05-02 12:26:47,173.445
2017-05-02 12:27:01,173.445
2017-05-02 12:27:10,173.44
2017-05-02 12:27:11,173.44
2017-05-02 12:27:24,173.415
2017-05-02 12:27:32,173.41
2017-05-02 12:27:34,173.41
2017-05-02 12:27:41,173.415
2017-05-02 12:27:42,173.415
2017-05-02 12:27:48,173.43
2017-05-02 12:27:49,173.435
2017-05-02 12:27:55,173.435
2017-05-02 12:27:56,173.405
2017-05-02 12:27:57,173.375
2017-05-02 12:28:00,173.375
2017-05-02 12:28:10,173.375
2017-05-02 12:28:24,173.4
2017-05-02 12:28:25,173.41
2017-05-02 12:28:27,173.41
2017-05-02 12:28:28,173.41
2017-05-02 12:28:30,173.405
2017-05-02 12:28:32,173.405
2017-05-02 12:28:37,173.445
2017-05-02 12:28:38,173.445
2017-05-02 12:28:39,173.445
2017-05-02 12:28:47,173.445
2017-05-02 12:28:50,173.445
2017-05-02 12:28:53,173.445
2017-05-02 12:28:59,173.5
2017-05-02 12:29:03,173.5
2017-05-02 12:29:04,173.49
2017-05-02 12:29:05,173.485
2017-05-02 12:29:06,173.49
2017-05-02 12:29:07,173.465
2017-05-02 12:29:08,173.455
2017-05-02 12:29:09,173.455
2017-05-02 12:29:10,173.455
2017-05-02 12:29:11,173.455
2017-05-02 12:29:19,173.455
2017-05-02 12:29:23,173.455
2017-05-02 12:29:28,173.445
2017-05-02 12:29:29,173.445
2017-05-02 12:29:30,173.445
2017-05-02 12:29:32,173.445
2017-05-02 12:29:40,173.46
2017-05-02 12:29:41,173.51
2017-05-02 12:29:42,173.495
2017-05-02 12:29:46,173.52
2017-05-02 12:29:48,173.5
2017-05-02 12:29:52,173.5
2017-05-02 12:29:59,173.5
2017-05-02 12:30:03,173.505
2017-05-02 12:30:06,173.505
2017-05-02 12:30:07,173.5
2017-05-02 12:30:09,173.53
2017-05-02 12:30:10,173.5
2017-05-02 12:30:12,173.52
2017-05-02 12:30:13,173.47
2017-05-02 12:30:15,173.47
2017-05-02 12:30:18,173.46
2017-05-02 12:30:19,173.455
2017-05-02 12:30:21,173.455
2017-05-02 12:30:24,173.455
2017-05-02 12:30:26,173.46
2017-05-02 12:30:27,173.45
2017-05-02 12:30:36,173.45
2017-05-02 12:30:45,173.46
2017-05-02 12:30:49,173.46
2017-05-02 12:30:55,173.46
2017-05-02 12:30:59,173.46
2017-05-02 12:31:05,173.465
2017-05-02 12:31:06,173.48
2017-05-02 12:31:07,173.475
2017-05-02 12:31:08,173.48
2017-05-02 12:31:09,173.475
2017-05-02 12:31:11,173.535
2017-05-02 12:31:12,173.545
2017-05-02 12:31:16,173.575
2017-05-02 12:31:17,173.58
2017-05-02 12:31:19,173.58
2017-05-02 12:31:21,173.595
2017-05-02 12:31:22,173.6
2017-05-02 12:31:23,173.6
2017-05-02 12:31:25,173.6
2017-05-02 12:31:26,173.6
2017-05-02 12:31:27,173.595
2017-05-02 12:31:28,173.595
2017-05-02 12:31:32,173.6
2017-05-02 12:31:38,173.6
2017-05-02 12:31:39,173.595
2017-05-02 12:31:47,173.59
2017-05-02 12:31:52,173.59
2017-05-02 12:31:55,173.59
2017-05-02 12:31:58,173.65
2017-05-02 12:32:05,173.675
2017-05-02 12:32:07,173.67
2017-05-02 12:32:08,173.665
2017-05-02 12:32:23,173.665
2017-05-02 12:32:38,173.625
2017-05-02 12:32:39,173.605
2017-05-02 12:32:41,173.61
2017-05-02 12:32:43,173.61
2017-05-02 12:32:46,173.58
2017-05-02 12:32:53,173.535
2017-05-02 12:32:55,173.535
2017-05-02 12:33:04,173.52
2017-05-02 12:33:06,173.52
2017-05-02 12:33:07,173.525
2017-05-02 12:33:09,173.525
2017-05-02 12:33:14,173.525
2017-05-02 12:33:17,173.52
2017-05-02 12:33:20,173.515
2017-05-02 12:33:25,173.52
2017-05-02 12:33:26,173.52
2017-05-02 12:33:32,173.52
2017-05-02 12:33:34,173.52
2017-05-02 12:33:35,173.52
2017-05-02 12:33:36,173.52
2017-05-02 12:33:39,173.52
2017-05-02 12:33:46,173.525
2017-05-02 12:33:49,173.52
2017-05-02 12:33:51,173.52
2017-05-02 12:33:55,173.515
2017-05-02 12:33:56,173.51
2017-05-02 12:33:57,173.515
2017-05-02 12:34:00,173.515
2017-05-02 12:34:13,173.515
2017-05-02 12:34:20,173.505
2017-05-02 12:34:21,173.505
2017-05-02 12:34:22,173.51
2017-05-02 12:34:29,173.51
2017-05-02 12:34:30,173.54
2017-05-02 12:34:31,173.54
2017-05-02 12:34:32,173.54
2017-05-02 12:34:33,173.54
2017-05-02 12:34:37,173.54
2017-05-02 12:34:48,173.535
2017-05-02 12:34:49,173.53
2017-05-02 12:34:53,173.53
2017-05-02 12:34:57,173.52
2017-05-02 12:34:59,173.52
2017-05-02 12:35:00,173.52
2017-05-02 12:35:03,173.52
2017-05-02 12:35:05,173.52
2017-05-02 12:35:07,173.52
2017-05-02 12:35:08,173.52
2017-05-02 12:35:11,173.525
2017-05-02 12:35:12,173.525
2017-05-02 12:35:13,173.525
2017-05-02 12:35:14,173.525
2017-05-02 12:35:23,173.52
2017-05-02 12:35:24,173.55
2017-05-02 12:35:25,173.555
2017-05-02 12:35:26,173.545
2017-05-02 12:35:29,173.55
2017-05-02 12:35:34,173.545
2017-05-02 12:35:35,173.55
2017-05-02 12:35:36,173.545
2017-05-02 12:35:41,173.545
2017-05-02 12:35:53,173.545
2017-05-02 12:36:00,173.545
2017-05-02 12:36:03,173.545
2017-05-02 12:36:04,173.545
2017-05-02 12:36:19,173.56
2017-05-02 12:36:22,173.565
2017-05-02 12:36:25,173.57
2017-05-02 12:36:26,173.63
2017-05-02 12:36:27,173.61
2017-05-02 12:36:28,173.615
2017-05-02 12:36:29,173.615
2017-05-02 12:36:33,173.64
2017-05-02 12:36:43,173.615
2017-05-02 12:36:45,173.605
2017-05-02 12:36:46,173.595
2017-05-02 12:36:47,173.565
2017-05-02 12:36:49,173.565
2017-05-02 12:36:53,173.565
2017-05-02 12:36:55,173.565
2017-05-02 12:36:59,173.59
2017-05-02 12:37:08,173.58
2017-05-02 12:37:09,173.585
2017-05-02 12:37:12,173.585
2017-05-02 12:37:15,173.585
2017-05-02 12:37:16,173.605
2017-05-02 12:37:22,173.605
2017-05-02 12:37:26,173.63
2017-05-02 12:37:28,173.63
2017-05-02 12:37:31,173.63
2017-05-02 12:37:33,173.665
2017-05-02 12:37:34,173.665
2017-05-02 12:37:35,173.665
2017-05-02 12:37:37,173.665
2017-05-02 12:37:38,173.665
2017-05-02 12:37:39,173.665
2017-05-02 12:37:40,173.665
2017-05-02 12:37:43,173.73
2017-05-02 12:37:44,173.73
2017-05-02 12:37:48,173.73
