Date,Price
2017-04-28 13:00:00,105.68
2017-04-28 13:00:02,105.675
2017-04-28 13:00:05,105.685
2017-04-28 13:00:06,105.685
2017-04-28 13:00:59,105.7
2017-04-28 13:01:00,105.705
2017-04-28 13:01:01,105.705
2017-04-28 13:01:06,105.715
2017-04-28 13:01:07,105.725
2017-04-28 13:01:10,105.725
2017-04-28 13:01:11,105.73
2017-04-28 13:01:12,105.725
2017-04-28 13:01:15,105.72
2017-04-28 13:01:22,105.73
2017-04-28 13:01:30,105.735
2017-04-28 13:01:46,105.74
2017-04-28 13:01:47,105.735
2017-04-28 13:01:57,105.745
2017-04-28 13:02:01,105.75
2017-04-28 13:02:05,105.745
2017-04-28 13:02:15,105.75
2017-04-28 13:02:16,105.745
2017-04-28 13:02:18,105.745
2017-04-28 13:02:19,105.745
2017-04-28 13:02:50,105.745
2017-04-28 13:03:01,105.75
2017-04-28 13:03:16,105.75
2017-04-28 13:03:21,105.75
2017-04-28 13:03:38,105.75
2017-04-28 13:03:40,105.745
2017-04-28 13:03:41,105.71
2017-04-28 13:03:42,105.71
2017-04-28 13:03:45,105.71
2017-04-28 13:03:46,105.71
2017-04-28 13:03:56,105.7
2017-04-28 13:04:00,105.7
2017-04-28 13:04:03,105.71
2017-04-28 13:04:05,105.71
2017-04-28 13:04:08,105.715
2017-04-28 13:04:14,105.72
2017-04-28 13:04:21,105.72
2017-04-28 13:04:22,105.705
2017-04-28 13:04:23,105.71
2017-04-28 13:04:30,105.71
2017-04-28 13:04:35,105.71
2017-04-28 13:04:47,105.705
2017-04-28 13:04:48,105.705
2017-04-28 13:04:51,105.705
2017-04-28 13:04:56,105.705
2017-04-28 13:04:59,105.705
2017-04-28 13:05:00,105.705
2017-04-28 13:05:01,105.705
2017-04-28 13:05:26,105.705
2017-04-28 13:05:34,105.705
2017-04-28 13:05:44,105.705
2017-04-28 13:05:54,105.7
2017-04-28 13:05:58,105.7
2017-04-28 13:06:11,105.695
2017-04-28 13:06:14,105.695
2017-04-28 13:06:17,105.695
2017-04-28 13:06:33,105.695
2017-04-28 13:07:34,105.695
2017-04-28 13:08:28,105.69
2017-04-28 13:08:30,105.69
2017-04-28 13:08:41,105.69
2017-04-28 13:08:51,105.69
2017-04-28 13:09:01,105.685
2017-04-28 13:09:04,105.685
2017-04-28 13:09:09,105.68
2017-04-28 13:09:16,105.68
