Date,Price
2017-01-03 13:00:08,74.08
2017-01-03 13:00:10,74.08
2017-01-03 13:00:28,74.08
2017-01-03 13:00:29,74.075
2017-01-03 13:00:30,74.075
2017-01-03 13:00:31,74.075
2017-01-03 13:00:33,74.075
2017-01-03 13:00:34,74.075
2017-01-03 13:00:36,74.075
2017-01-03 13:00:37,74.075
2017-01-03 13:00:39,74.075
2017-01-03 13:00:41,74.075
2017-01-03 13:00:43,74.075
2017-01-03 13:00:44,74.075
2017-01-03 13:00:46,74.075
2017-01-03 13:00:48,74.075
2017-01-03 13:00:49,74.075
2017-01-03 13:00:51,74.075
2017-01-03 13:00:53,74.075
2017-01-03 13:00:54,74.075
2017-01-03 13:00:55,74.075
2017-01-03 13:00:56,74.075
2017-01-03 13:00:59,74.075
2017-01-03 13:01:00,74.075
2017-01-03 13:01:02,74.075
2017-01-03 13:01:04,74.075
2017-01-03 13:01:07,74.08
2017-01-03 13:01:08,74.08
2017-01-03 13:01:09,74.08
2017-01-03 13:01:16,74.08
2017-01-03 13:01:29,74.08
2017-01-03 13:01:30,74.085
2017-01-03 13:01:31,74.085
2017-01-03 13:01:32,74.085
2017-01-03 13:01:35,74.08
2017-01-03 13:01:37,74.08
2017-01-03 13:01:40,74.08
2017-01-03 13:01:41,74.08
2017-01-03 13:01:46,74.08
2017-01-03 13:01:48,74.09
2017-01-03 13:01:49,74.095
2017-01-03 13:01:50,74.09
2017-01-03 13:01:54,74.09
2017-01-03 13:01:55,74.09
2017-01-03 13:01:56,74.09
2017-01-03 13:01:58,74.09
2017-01-03 13:02:00,74.09
2017-01-03 13:02:06,74.09
2017-01-03 13:02:07,74.09
2017-01-03 13:02:08,74.085
2017-01-03 13:02:09,74.085
2017-01-03 13:02:10,74.085
2017-01-03 13:02:12,74.085
2017-01-03 13:02:15,74.085
2017-01-03 13:02:16,74.085
2017-01-03 13:02:17,74.085
2017-01-03 13:02:18,74.085
2017-01-03 13:02:21,74.095
2017-01-03 13:02:22,74.095
2017-01-03 13:02:29,74.11
2017-01-03 13:02:30,74.11
2017-01-03 13:02:33,74.11
2017-01-03 13:02:35,74.11
2017-01-03 13:02:36,74.11
2017-01-03 13:02:40,74.11
2017-01-03 13:02:53,74.11
2017-01-03 13:02:54,74.105
2017-01-03 13:02:55,74.105
2017-01-03 13:02:56,74.105
2017-01-03 13:03:00,74.1
2017-01-03 13:03:01,74.1
2017-01-03 13:03:02,74.1
2017-01-03 13:03:04,74.1
