Lambda,Mean (bps),Median (bps),Std (bps),P(win),GLR
0.0,-29.063333333333333,-31.903333333333332,211.66,0.4258,1.0389285714285714
0.0005,8.148888888888889,0.4499999999999942,226.8466666666667,0.5391888888888889,inf
0.001,-77.66222222222223,-47.28,216.0911111111111,0.29846666666666666,1.2645714285714287
0.005,-41.519999999999996,-12.455555555555552,182.64777777777778,0.46295555555555556,inf
0.01,-19.783333333333328,0.10111111111111389,99.15222222222222,0.5460333333333334,inf
